6675c578-5524-5577-d93b-e6528c3c343b,Ellie Goulding,England,Pop,76913482,1783274
e351c528-a6b5-11e0-b446-00251188dd67,Dire Straits,England,Rock,51626837,2019858
cd138c73-04c7-50e9-d148-8174c96c0b91,John Lennon,England,Rock,34612797,2041780
e211c27d-a6b5-11e0-b446-00251188dd67,The Who,England,Rock,68752129,2638946
7fd4290a-c1d8-169b-c416-41d86bbb490a,Amy Winehouse,England,Soul/R&B,88628822,2377702
82529446-1e3d-9056-a42d-4159d5428fd7,Iron Maiden,England,Rock,157087072,2010979
645a4d85-b78a-89fe-5482-610276838f02,Rita Ora,England,Pop,7649350,542666
84e8abc3-f5d4-7dff-0349-e831dec13dae,Panic! at the Disco,United States of America,Alternative/Indie,95414208,1991669
aaf24e21-5143-4959-a7a2-57a6e62ff685,Vance Joy,Australia,Alternative/Indie,9918021,646463
354ff8ba-bb9d-4081-b42a-56146a507e9b,Marvin Gaye,United States of America,Soul/R&B,28834472,1789813
a12537d3-8665-43b5-ba6d-9d30a88e28a1,Nine Inch Nails,United States of America,Alternative/Indie,169848611,2084280
9865ef5b-d3cc-40df-9318-6f7a63f8157c,Hozier,Ireland,Alternative/Indie,17601801,746262
1ed6d255-8eae-5c36-fab5-f59fe2c670fd,J Balvin,Colombia,Latin,3000909,222472
5a58dd64-2b31-33b9-38e6-923c1fb3719a,Bonobo,England,Electronica/Dance,76627840,1412935
c0c4e55c-dbfe-28fc-0b3c-ff1f1d267564,Slipknot,United States of America,Pop,117059059,2245867
a91db543-3041-6a63-8017-5a1ee5847572,DJ Snake,France,Rap/Hip Hop,5503287,476747
61ff9716-0ab3-e2d8-c9c1-9f984655f9bc,Evanescence,United States of America,Rock,98176358,2262076
ef11e284-a6b5-11e0-b446-00251188dd67,The War on Drugs,United States of America,Alternative/Indie,15424364,496345
e5ce5496-87f9-e81d-dca0-253be76d2ec7,Mumford & Sons,England,Alternative/Indie,91505814,1696236
5139f3f2-f2ef-953e-278b-b572440f53f6,Kasabian,England,Alternative/Indie,78579878,2342554
39bb5c9d-de11-c99e-9967-89ebd0fd8003,My Chemical Romance,United States of America,Alternative/Indie,9208437,275701
b7d2db9c-e2d5-e4a1-fe57-96c7bf2962ab,Eagles,United States of America,Pop,31268704,1924337
24373269-b8b6-937f-86c6-67f1a1ac2d0e,Carly Rae Jepsen,Canada,Pop,24796691,955814
f9475806-b210-80e4-3687-cc1369ad1285,The Neighbourhood,United States of America,Alternative/Indie,21598965,655836
e4e76cc0-5995-4cf1-8f08-75a56706e0f9,Migos,United States of America,Rap/Hip Hop,5255304,237451
e23eaddd-a6b5-11e0-b446-00251188dd67,Tears for Fears,England,Pop,19542508,1346481
0d78afc5-c62f-2f77-1a59-1b3755c75309,Moby,United States of America,Electronica/Dance,88907300,2555494
4b750015-8af0-9c9a-34ff-c4a4afa4ecc2,Grimes,Canada,Electronica/Dance,46989151,780246
