8397091b-e2a2-9081-c9a9-1a4fd92b5832,Logic,United States,N\A
333caa00-4211-ce3d-e60c-d07dd0d954c8,Jimi Hendrix,United States of America,Rock
e61c46cd-a6b5-11e0-b446-00251188dd67,M83,France,Electronica/Dance
e5bda2a8-a6b5-11e0-b446-00251188dd67,Aerosmith,United States of America,Rock
709467d9-6b74-9d29-3759-08bbf138ef06,Simon & Garfunkel,United States of America,Pop
e4dc3a7a-a6b5-11e0-b446-00251188dd67,LCD Soundsystem,United States of America,Pop
5169c78c-9b0c-4410-bcab-3dae61c25f82,Bastille,Germany,N\A
4cf380ac-ae15-dc75-fbeb-bcc41ed95af1,Two Door Cinema Club,Northern Ireland,Alternative/Indie
251bb94c-7085-4824-92b3-38f8f4c08438,Khalid,N\A,N\A
e2ddf70a-a6b5-11e0-b446-00251188dd67,Talking Heads,United States of America,Rock
e2fa2c14-a6b5-11e0-b446-00251188dd67,OutKast,United States of America,Rap/Hip Hop
e6c607f9-a6b5-11e0-b446-00251188dd67,Toto,United States of America,Pop
11a00be9-39ff-5fed-d1c6-fccee7191206,Foals,England,Alternative/Indie
e2d2fa01-a6b5-11e0-b446-00251188dd67,Marilyn Manson,United States of America,Rock
2ded70b1-6e7c-c247-826e-af95baca18b5,Bon Jovi,United States of America,Rock
edfd3d6f-a6b5-11e0-b446-00251188dd67,Cage the Elephant,United States of America,Rock
4a4f6ef8-5665-3999-623b-eb795b846fe9,The Kooks,England,Alternative/Indie
3d1a9935-c94f-06b6-ecec-7357b22ad8e4,Mac DeMarco,Canada,Alternative/Indie
c7bff023-b6d6-4c88-8350-1111da9382aa,Hall & Oates,N\A,Pop
6675c578-5524-5577-d93b-e6528c3c343b,Ellie Goulding,England,Pop
e351c528-a6b5-11e0-b446-00251188dd67,Dire Straits,England,Rock
cd138c73-04c7-50e9-d148-8174c96c0b91,John Lennon,England,Rock
e211c27d-a6b5-11e0-b446-00251188dd67,The Who,England,Rock
7fd4290a-c1d8-169b-c416-41d86bbb490a,Amy Winehouse,England,Soul/R&B
82529446-1e3d-9056-a42d-4159d5428fd7,Iron Maiden,England,Rock
645a4d85-b78a-89fe-5482-610276838f02,Rita Ora,England,Pop
84e8abc3-f5d4-7dff-0349-e831dec13dae,Panic! at the Disco,United States of America,Alternative/Indie
aaf24e21-5143-4959-a7a2-57a6e62ff685,Vance Joy,Australia,Alternative/Indie
354ff8ba-bb9d-4081-b42a-56146a507e9b,Marvin Gaye,United States of America,Soul/R&B
a12537d3-8665-43b5-ba6d-9d30a88e28a1,Nine Inch Nails,United States of America,Alternative/Indie
9865ef5b-d3cc-40df-9318-6f7a63f8157c,Hozier,Ireland,Alternative/Indie
1ed6d255-8eae-5c36-fab5-f59fe2c670fd,J Balvin,Colombia,Latin
5a58dd64-2b31-33b9-38e6-923c1fb3719a,Bonobo,England,Electronica/Dance
c0c4e55c-dbfe-28fc-0b3c-ff1f1d267564,Slipknot,United States of America,Pop
a91db543-3041-6a63-8017-5a1ee5847572,DJ Snake,France,Rap/Hip Hop
61ff9716-0ab3-e2d8-c9c1-9f984655f9bc,Evanescence,United States of America,Rock
ef11e284-a6b5-11e0-b446-00251188dd67,The War on Drugs,United States of America,Alternative/Indie
e5ce5496-87f9-e81d-dca0-253be76d2ec7,Mumford & Sons,England,Alternative/Indie
5139f3f2-f2ef-953e-278b-b572440f53f6,Kasabian,England,Alternative/Indie
39bb5c9d-de11-c99e-9967-89ebd0fd8003,My Chemical Romance,United States of America,Alternative/Indie
b7d2db9c-e2d5-e4a1-fe57-96c7bf2962ab,Eagles,United States of America,Pop
24373269-b8b6-937f-86c6-67f1a1ac2d0e,Carly Rae Jepsen,Canada,Pop
f9475806-b210-80e4-3687-cc1369ad1285,The Neighbourhood,United States of America,Alternative/Indie
e4e76cc0-5995-4cf1-8f08-75a56706e0f9,Migos,United States of America,Rap/Hip Hop
e23eaddd-a6b5-11e0-b446-00251188dd67,Tears for Fears,England,Pop
0d78afc5-c62f-2f77-1a59-1b3755c75309,Moby,United States of America,Electronica/Dance
4b750015-8af0-9c9a-34ff-c4a4afa4ecc2,Grimes,Canada,Electronica/Dance
82a309cf-1e2f-c7fa-91e5-076eacbeaded,Charli XCX,England,Pop
efc589ba-a6b5-11e0-b446-00251188dd67,DJ Khaled,United States of America,Rap/Hip Hop
c9a6abd9-13c2-4086-bd5c-77f18476c4a8,Fifth Harmony,United States of America,Pop
4afb2785-95f4-2c9a-8855-7f609a5678b7,The Shins,United States of America,Alternative/Indie
eb980fd2-a6b5-11e0-b446-00251188dd67,Beach House,United States of America,Alternative/Indie
e2822306-a6b5-11e0-b446-00251188dd67,Interpol,United States of America,Alternative/Indie
7056083b-74d7-0ea9-0b26-e5c224587b90,Korn,United States of America,Rock
17e80338-7f60-0b42-d4b6-e06cf45f9070,Neil Young,Canada,Rock
f0faa9d7-a6b5-11e0-b446-00251188dd67,Miguel,United States of America,Soul/R&B
e24d034a-a6b5-11e0-b446-00251188dd67,Papa Roach,United States of America,Rock
e22e4bfb-a6b5-11e0-b446-00251188dd67,Christina Aguilera,United States of America,Pop
8d10b97b-7e44-92e8-4828-0bd9885114c4,The Lumineers,United States of America,Alternative/Indie
9de9c390-3838-d89e-0a2e-85a4c1791438,Aphex Twin,England,Electronica/Dance
13e67c52-294a-a96f-024e-cfc54d1a4b06,Bebe Rexha,United States,Pop
29bbf3a6-8a23-433f-8dce-546fa1a06da8,SZA,United States of America,Soul/R&B
af2f6bf3-6808-f119-b37a-d164a11fc0ad,Avril Lavigne,Canada,Pop
24364a52-83c5-f31a-97b6-195b139642b9,Placebo,England,Rock
d74a7d82-a201-4429-9e54-880154c4d535,a-ha,Norway,Pop
e27222a9-a6b5-11e0-b446-00251188dd67,Morrissey,England,Alternative/Indie
bb0efb5f-dab5-16b6-a996-0d8192d6b84b,Flume,Australia,Electronica/Dance
169f779e-e7fe-9006-2426-13b7dbcdda6c,Paul McCartney,England,Pop
f1ae5da2-a6b5-11e0-b446-00251188dd67,French Montana,United States of America,Rap/Hip Hop
e6fd9b88-43de-7303-577f-9e3d90448517,Vampire Weekend,United States of America,Alternative/Indie
fd9e3273-d060-4ed1-9a47-27a6415d3af2,30 Seconds to Mars,N\A,N\A
bfdd9f66-107f-120d-56de-a1daa547af28,Disturbed,United States of America,Rock
e528d78a-a6b5-11e0-b446-00251188dd67,John Mayer,United States of America,Rock
f10b8904-feb6-3e06-1327-76c91adad989,Of Monsters and Men,Iceland,Alternative/Indie
e8023cf6-8e6e-1b6a-954e-9260a32e6fd3,Little Mix,England,Pop
29ce0c86-cfbb-6d94-4a40-650a137d23b5,Travi$ Scott,United States,Rap/Hip Hop
5eb91350-09e0-fae0-34ee-98e67b446ab9,The Velvet Underground,United States of America,Rock
dcb7dade-5903-4ad2-8917-2d90bd873e1a,Royal Blood,England,Electronica/Dance
b15595a0-95c6-2d41-48de-8fb6638b01bf,Soundgarden,United States of America,Rock
e576cee4-a6b5-11e0-b446-00251188dd67,Limp Bizkit,United States of America,Rock
f221f628-a6b5-11e0-b446-00251188dd67,Disclosure,England,Electronica/Dance
e398f5d4-a6b5-11e0-b446-00251188dd67,Whitney Houston,United States of America,Pop
39937598-4440-d3f2-06e1-a60ce24b5e36,Modest Mouse,United States of America,Alternative/Indie
9bc0c206-f257-63e5-5ef8-bf69b4e6778f,Slowdive,England,Alternative/Indie
e6b1441e-a6b5-11e0-b446-00251188dd67,Chris Brown,United States of America,Soul/R&B
7a5fb7e9-4ecc-4486-958e-9a1d00a4105d,Billy Joel,United States of America,Pop
e6f1b8c1-a6b5-11e0-b446-00251188dd67,The Kinks,England,Rock
080d8ae6-a0b8-a0ef-77cd-39555d2074cc,Eric Clapton,England,Rock
ab17b0aa-2494-d507-df04-73b0a039046a,A$AP Rocky,United States of America,Rap/Hip Hop
e46e6122-a6b5-11e0-b446-00251188dd67,Hans Zimmer,Germany,Soundtracks
e330954e-a6b5-11e0-b446-00251188dd67,Scorpions,Germany,Rock
e0230fb1-594f-06f8-9f9b-e64855fcd490,Zedd,Germany,Electronica/Dance
44e4246e-3639-4d2f-b16b-b4bf3098365a,Zara Larsson,N\A,N\A
1bf1c5aa-2413-7a91-344f-4756a30267b7,Walk the Moon,United States of America,Alternative/Indie
2584a55b-01cd-5c09-bd7b-fc93eada3b57,Nicki Minaj,United States of America,Rap/Hip Hop
80955070-df81-4166-bfee-1fefd9f0fbe0,Banks,United States of America,Alternative/Indie
b028bd07-c592-1f6b-101d-465b8ea53823,NF,N\A,Rap/Hip Hop
6619bc91-1301-2353-8e0b-420f8ec7fa2f,Electric Light Orchestra,England,Rock
e50050aa-a6b5-11e0-b446-00251188dd67,Rise Against,United States of America,Rock
b3ddfb9c-bf37-3b6e-889b-9efc6d59cc9e,Rammstein,Germany,Rock
e5c6dc3b-a6b5-11e0-b446-00251188dd67,The Cranberries,Ireland,Alternative/Indie
815bed6b-d7bb-eccc-f8fe-aaae44086f43,Prince,United States of America,Pop
e2f68371-a6b5-11e0-b446-00251188dd67,Gwen Stefani,United States of America,Pop
e5792cc4-a6b5-11e0-b446-00251188dd67,John Legend,United States of America,Soul/R&B
8f58d4fc-1fcd-4e4a-90f5-2cacdc0ec982,Black Eyed Peas,N\A,N\A
f99dedd2-110c-63a7-84ab-c8b19e582728,Angus & Julia Stone,Australia,Folk
666ec234-ff0c-4041-882d-94854ec6a07e,Deep Purple,England,Rock
c14c0e48-31db-3137-1caa-b2bc2b9df2a1,Alice in Chains,United States of America,Rock
e58b03a3-a6b5-11e0-b446-00251188dd67,Portishead,England,Alternative/Indie
e58af5cd-a6b5-11e0-b446-00251188dd67,Blondie,United States of America,Rock
e6066461-0f1d-8412-9a50-bf7d5053aa75,Nat King Cole,United States of America,Jazz
584ee63e-e382-4886-bdf8-09ba762db308,Robin Schulz,N\A,Electronica/Dance
cb206b85-a1f7-323b-1bcf-c70c53f4153d,Father John Misty,United States of America,Alternative/Indie
7a056e29-3634-b757-0029-3d19e2cf090f,Kylie Minogue,Australia,Pop
c17ac2d5-f9df-2dff-992a-76232987798b,The 1975,England,Alternative/Indie
125dfc3f-e6e8-a1ba-fbce-e08b61bcefdd,Odesza,United States,Electronica/Dance
05879a22-295d-4e80-8075-ed519d60cf51,Snoop Dogg,United States of America,Rap/Hip Hop
e5cfccfe-e563-3dee-a236-6bd116844af9,Death Cab for Cutie,United States of America,Alternative/Indie
86e5236d-62e7-cb00-da72-68d4482eca38,Macklemore,United States of America,Rap/Hip Hop
ae8256b8-7b47-66bb-968d-cfeb17bfa170,Skrillex,United States of America,Electronica/Dance
e5794465-a6b5-11e0-b446-00251188dd67,Audioslave,United States of America,Rock
0ff631cc-5320-4e80-ba18-eadc36aee597,Bing Crosby,United States of America,Pop
4c27e92e-90ea-b7ef-5b74-2586bb43177f,James Arthur,England,Pop
3aec318a-7241-43e4-17c1-38a0eceafbbb,Pitbull,United States of America,Pop
a33ed7e1-5ff1-0e02-23f0-c92b29b04749,Dean Martin,United States of America,Pop
8ce3bfe5-f608-8329-52ca-9bde0efc601d,Yeah Yeah Yeahs,United States of America,Alternative/Indie
62fa0c62-d3be-78ca-1ea8-60ff0b3efd9d,Lynyrd Skynyrd,United States of America,Rock
53d15e72-2b41-4082-bd47-776de15bcd58,Nick Cave & The Bad Seeds,N\A,N\A
e7039d1b-a6b5-11e0-b446-00251188dd67,George Michael,England,Pop
f214105c-a6b5-11e0-b446-00251188dd67,Big Sean,United States of America,Rap/Hip Hop
be6cdf9e-1d84-bd3d-3d92-fedd9e295627,Dr. Dre,United States of America,Rap/Hip Hop
f06be2bc-a6b5-11e0-b446-00251188dd67,Daughter,England,Alternative/Indie
ef6d907c-a6b5-11e0-b446-00251188dd67,The Jackson 5,United States of America,Soul/R&B
62c624f8-edd5-621b-0c7f-42a56bbeb342,Phil Collins,England,Pop
